config,config_slug,trial,n_trials,model,harness,effort,arm,outcome,time_min,tokens_k,cost_usd,accounted,session_stamp,slot_id,still_id
"GPT-6 Astra, low effort",gpt6_astra_low,01,5,GPT-6 Astra,Codex CLI,low,left,success,7.447,2704.68,3.7668,yes,20260910_162434,t2-astra_low-t01,t2-astra_low-t01
"GPT-6 Astra, low effort",gpt6_astra_low,02,5,GPT-6 Astra,Codex CLI,low,right,success,19.007,7720.409,9.5623,yes,20260910_162606,t2-astra_low-t02,t2-astra_low-t02
"GPT-6 Astra, low effort",gpt6_astra_low,03,5,GPT-6 Astra,Codex CLI,low,left,success,6.034,2805.223,3.6335,yes,20260910_163300,t2-astra_low-t03,t2-astra_low-t03
"GPT-6 Astra, low effort",gpt6_astra_low,04,5,GPT-6 Astra,Codex CLI,low,left,success,6.297,1438.472,2.1541,yes,20260910_164107,t2-astra_low-t04,t2-astra_low-t04
"GPT-6 Astra, low effort",gpt6_astra_low,05,5,GPT-6 Astra,Codex CLI,low,right,success,10.934,3775.807,4.821,yes,20260910_164636,t2-astra_low-t05,t2-astra_low-t05
"GPT-6 Astra, medium effort",gpt6_astra_medium,01,5,GPT-6 Astra,Codex CLI,medium,left,success,6.327,1842.494,2.7566,yes,20260910_165416,t2-astra_medium-t01,t2-astra_medium-t01
"GPT-6 Astra, medium effort",gpt6_astra_medium,02,5,GPT-6 Astra,Codex CLI,medium,right,success,15.441,5800.821,7.4837,yes,20260910_165855,t2-astra_medium-t02,t2-astra_medium-t02
"GPT-6 Astra, medium effort",gpt6_astra_medium,03,5,GPT-6 Astra,Codex CLI,medium,left,success,8.783,2512.832,3.465,yes,20260910_170151,t2-astra_medium-t03,t2-astra_medium-t03
"GPT-6 Astra, medium effort",gpt6_astra_medium,04,5,GPT-6 Astra,Codex CLI,medium,left,success,7.599,2955.977,3.8571,yes,20260910_171245,t2-astra_medium-t04,t2-astra_medium-t04
"GPT-6 Astra, medium effort",gpt6_astra_medium,05,5,GPT-6 Astra,Codex CLI,medium,left,success,7.646,2010.869,2.8957,yes,20260910_172427,t2-astra_medium-t05,t2-astra_medium-t05
"GPT-6 Astra, high effort",gpt6_astra_high,01,5,GPT-6 Astra,Codex CLI,high,right,success,8.9,4024.108,5.1898,yes,20260910_171617,t2-astra_high-t01,t2-astra_high-t01
"GPT-6 Astra, high effort",gpt6_astra_high,02,5,GPT-6 Astra,Codex CLI,high,right,success,10.61,3137.029,4.3879,yes,20260910_172626,t2-astra_high-t02,t2-astra_high-t02
"GPT-6 Astra, high effort",gpt6_astra_high,03,5,GPT-6 Astra,Codex CLI,high,left,success,9.003,2584.488,3.7162,yes,20260910_173323,t2-astra_high-t03,t2-astra_high-t03
"GPT-6 Astra, high effort",gpt6_astra_high,04,5,GPT-6 Astra,Codex CLI,high,right,success,9.681,2811.505,3.9589,yes,20260910_173900,t2-astra_high-t04,t2-astra_high-t04
"GPT-6 Astra, high effort",gpt6_astra_high,05,5,GPT-6 Astra,Codex CLI,high,left,success,7.924,3940.922,5.0753,yes,20260910_174339,t2-astra_high-t05,t2-astra_high-t05
