config,config_slug,population,n,n_trials,total_min,visual_loop_min,remaining_response_min,local_tools_min,action_service_min,check_min,report_min
Four pair assembly,four_pair_assembly,all,5,5,62.03149666706721,30.59192526261012,16.079465316136677,0.43318331003189087,13.647742613156636,0.5024194812774658,0.776760683854421
Four pair assembly,four_pair_assembly,successful,4,5,54.99994166692098,27.69979825814565,13.111044147610665,0.25850623846054077,12.7417615989844,0.44648294846216835,0.7423484752575557
Pyramid,pyramid,all,5,5,23.666349999904632,9.410147715409597,3.7214159496625263,0.18910229682922364,8.49166667540868,1.002133846282959,0.8518835163116455
Pyramid,pyramid,successful,5,5,23.666349999904632,9.410147715409597,3.7214159496625263,0.18910229682922364,8.49166667540868,1.002133846282959,0.8518835163116455
Two towers,two_towers,all,5,5,22.26149000008901,9.100889979998271,4.625650280316671,0.07938428560892741,7.354000002543131,0.22910518805185953,0.8724602635701497
Two towers,two_towers,successful,5,5,22.26149000008901,9.100889979998271,4.625650280316671,0.07938428560892741,7.354000002543131,0.22910518805185953,0.8724602635701497
Six block tower,six_block_tower,all,5,5,35.75301333427429,18.373193567593894,5.516619296073913,0.13026272614796958,10.166333343982696,0.6966875664393107,0.8699168340365092
Six block tower,six_block_tower,successful,4,5,35.519220833977066,18.04179449081421,5.81621298789978,0.13612265288829803,10.326250010728836,0.37159202893575033,0.8272486627101898
Die flipping,die_flipping,all,5,5,43.622490000724795,19.490333948930104,7.635031134287516,0.19878523508707682,14.348333336512248,1.1801843651135762,0.7698219807942708
Die flipping,die_flipping,successful,5,5,43.622490000724795,19.490333948930104,7.635031134287516,0.19878523508707682,14.348333336512248,1.1801843651135762,0.7698219807942708
Potato,targeted_throwing_potato,all,2,2,23.699566666285197,7.20902704000473,12.717918304602303,0.7184178193410238,1.9146364152431488,0.19082044561703998,0.948746641476949
Potato,targeted_throwing_potato,successful,2,2,23.699566666285197,7.20902704000473,12.717918304602303,0.7184178193410238,1.9146364152431488,0.19082044561703998,0.948746641476949
Sequential,towel_sequential,all,5,5,52.73434666633606,25.43818562189738,9.958903733094534,0.5076042946179707,14.652351081371307,0.2536596155166626,1.923642319838206
Sequential,towel_sequential,successful,5,5,52.73434666633606,25.43818562189738,9.958903733094534,0.5076042946179707,14.652351081371307,0.2536596155166626,1.923642319838206
Simultaneous,towel_simultaneous,all,5,5,23.218016666571298,12.194035222530365,1.5822900009155274,0.05838901122411092,7.065385973453522,0.2802013389269511,2.037715119520823
Simultaneous,towel_simultaneous,successful,3,5,23.474822221861945,12.128891583283743,1.7047611130608453,0.08010528484980264,7.125612231095632,0.38948478831185235,2.045967221260071
